me,'M IY',s,'IY'
not,'N AA T',s,'AA'
for,'F AO R',s,'AO'
my,'M AY',s,'AY'
the,'DH AH',s,''
livery,'L IH V r ǝ IH',s,'IH IH'
of,'AH V',s,''
the,'DH AH',s,''
sun,'S AH N',s,''
to,'T UW',s,'UW'
whom,'HH UW M',s,'UW'
i,'AY',s,'AY'
am,'AE M',s,'AE'
a,'AH',s,''
and,'AH N D',s,''
near,'N IY R',s,'IY'
bred,'B R EH D',s,''
me,'M IY',s,'IY'
the,'DH AH',s,''
fairest,'F EH R ǝ S T',s,''
creatre,'K R IY CH ER',s,'IY'
born,'B AO R N',s,'AO'
the,'DH AH',s,''
and,'AH N D',s,''
let,'L EH T',s,''
us,'AH S',s,''
incision,'IH N S IH ZH AH N',s,'IH IH'
for,'F AO R',s,'AO'
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
blood,'B L AH D',s,''
is,'IH Z',s,'IH'
reddest,'R EH D IH S T',s,'IH'
his,'HH IH Z',s,'IH'
or,'AO R',s,'AO'
i,'AY',s,'AY'
tell,'T EH L',s,''
thee,'DH IY',s,'IY'
lady,'L EY D IY',s,'EY IY'
this,'DH IH S',s,'IH'
aspect,'ǝ S P e K T',s,''
of,'AH V',s,''
hath,'HH AE TH',s,'AE'
the,'DH AH',s,''
by,'B AY',s,'AY'
my,'M AY',s,'AY'
i,'AY',s,'AY'
swear,'S W EH R',s,''
the,'DH AH',s,''
best,'B EH S T',s,''
regarded,'R AH G AA R D AH D',s,'AA'
of,'AH V',s,''
our,'OW R',s,''
it,'IH T',s,'IH'
too,'T UW',s,'UW'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
this,'DH IH S',s,'IH'
hue,'Y UW',s,'UW'
except,'IH K S EH P T',s,'IH'
to,'T UW',s,'UW'
steal,'S T IY L',s,'IY'
your,'Y AO R',s,'AO'
my,'M AY',s,'AY'
even,'IY V IH N',s,'IY IH'
for,'F AO R',s,'AO'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
thank,'TH AE NG K',s,'AE'
you,'Y UW',s,'UW'
therefre,'DH EH R F AO R',s,'AO'
i,'AY',s,'AY'
you,'Y UW',s,'UW'
lead,'L EH D',s,''
me,'M IY',s,'IY'
to,'T UW',s,'UW'
the,'DH AH',s,''
caskets,'K AW S K IH T S',s,'IH'
to,'T UW',s,'UW'
my,'M AY',s,'AY'
by,'B AY',s,'AY'
this,'DH IH S',s,'IH'
that,'DH AE T',s,'AE'
the,'DH AH',s,''
and,'AH N D',s,''
a,'AH',s,''
that,'DH AE T',s,'AE'
won,'W ɤ N',s,''
fields,'F IY L D Z',s,'IY'
of,'AH V',s,''
sultan,'S ɤ L T ǝ N',s,''
i,'AY',s,'AY'
the,'DH AH',s,''
sternest,'S T ɐ R N ǝ S T',s,''
that,'DH AE T',s,'AE'
look,'L UH K',s,'UH'
the,'DH AH',s,''
heart,'HH AA R T',s,'AA'
most,'M OW S T',s,''
on,'AA N',s,'AA'
the,'DH AH',s,''
pluck,'P L ɤ K',s,''
the,'DH AH',s,''
cubs,'K AH B Z',s,''
from,'F R AH M',s,''
the,'DH AH',s,''
yea,'Y EH',s,''
mock,'M AA K',s,'AA'
the,'DH AH',s,''
when,'ʍ e N',s,''
he,'HH IY',s,'IY'
roars,'R AO R Z',s,'AO'
for,'F AO R',s,'AO'
to,'T UW',s,'UW'
win,'W IH N',s,'IH'
thee,'DH IY',s,'IY'
lady,'L EY D IY',s,'EY IY'
but,'B AH T',s,''
alas,'AH L AE S',s,'AE'
the,'DH AH',s,''
if,'IH F',s,'IH'
and,'AH N D',s,''
at,'AE T',s,'AE'
is,'IH Z',s,'IH'
the,'DH AH',s,''
better,'B e T ə R',s,''
man,'M AE N',s,'AE'
the,'DH AH',s,''
greater,'G r e T ǝ R',s,''
turn,'T ɐ R N',s,''
by,'B AY',s,'AY'
from,'F R AH M',s,''
the,'DH AH',s,''
so,'S OW',s,''
is,'IH Z',s,'IH'
beaten,'B IY T ə N',s,'IY'
by,'B AY',s,'AY'
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
so,'S OW',s,''
i,'AY',s,'AY'
me,'M IY',s,'IY'
miss,'M IH S',s,'IH'
that,'DH AE T',s,'AE'
attain,'ǝ T EH N',s,''
and,'AH N D',s,''
with,'W IH DH',s,'IH'
nor,'N AO R',s,'AO'
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
me,'M IY',s,'IY'
unto,'AH N T UW',s,'UW'
my,'M AY',s,'AY'
good,'G UH D',s,'UH'
then,'DH EH N',s,''
to,'T UW',s,'UW'
me,'M IY',s,'IY'
men,'M EH N',s,''
this,'DH IH S',s,'IH'
of,'AH V',s,''
gold,'G OW L D',s,''
who,'HH UW',s,'UW'
this,'DH IH S',s,'IH'
insccription,'IH N S K R IH P SH AH N',s,'IH IH'
bears,'B EH R Z',s,''
who,'HH UW',s,'UW'
me,'M IY',s,'IY'
shall,'SH AE L',s,'AE'
gain,'G EH N',s,''
what,'W AH T',s,''
men,'M EH N',s,''
the,'DH AH',s,''
second,'S EH K AH N D',s,''
this,'DH IH S',s,'IH'
who,'HH UW',s,'UW'
me,'M IY',s,'IY'
shall,'SH AE L',s,'AE'
get,'G EH T',s,''
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
he,'HH IY',s,'IY'
this,'DH IH S',s,'IH'
dull,'D ɤ L',s,''
lead,'L EH D',s,''
with,'W IH DH',s,'IH'
all,'AA L',s,'AA'
as,'AE Z',s,'AE'
blunt,'B L ɤ N T',s,''
who,'HH UW',s,'UW'
me,'M IY',s,'IY'
must,'M AH S T',s,''
and,'AH N D',s,''
all,'AA L',s,'AA'
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
shall,'SH AE L',s,'AE'
i,'AY',s,'AY'
if,'IH F',s,'IH'
i,'AY',s,'AY'
do,'D OW',s,''
the,'DH AH',s,''
god,'G AA D',s,'AA'
my,'M AY',s,'AY'
let,'L EH T',s,''
me,'M IY',s,'IY'
see,'S IY',s,'IY'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
insccriptions,'IH N S K R IH P SH AH N Z',s,'IH IH'
back,'B AE K',s,'AE'
again,'ǝ ɡ EH N',s,''
what,'W AH T',s,''
this,'DH IH S',s,'IH'
leaden,'L EH D AH N',s,''
