it,'IH T',s,'IH'
is,'IH Z',s,'IH'
his,'HH IH Z',s,'IH'
pleasre,'P L EH ZH ER',s,''
that,'DH AE T',s,'AE'
the,'DH AH',s,''
appear,'ǝ P IY R',s,'IY'
in,'IH N',s,'IH'
in,'IH N',s,'IH'
court,'K AO R T',s,'AO'
to,'T UW',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
thou,'DH AW',s,''
art,'AA R T',s,'AA'
accused,'AH K Y UW Z D',s,'UW'
and,'AH N D',s,''
of,'AH V',s,''
treason,'T R IY Z AH N',s,'IY'
in,'IH N',s,'IH'
with,'W IH DH',s,'IH'
of,'AH V',s,''
and,'AH N D',s,''
conspiring,'K ǝ N S P ǝ IH R IH N',s,'IH IH'
with,'W IH DH',s,'IH'
camillo,'K AH M IH L OW',s,'IH'
to,'T UW',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
our,'OW R',s,''
lord,'L AO R D',s,'AO'
the,'DH AH',s,''
the,'DH AH',s,''
whereof,'ʍ EH R ɒ V',s,''
being,'B IY IH NG',s,'IY IH'
by,'B AY',s,'AY'
partly,'P AA R T L IY',s,'AA IY'
laid,'L EH D',s,''
open,'OW P ǝ N',s,''
thou,'DH AW',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
faith,'F EY TH',s,'EY'
and,'AH N D',s,''
of,'AH V',s,''
a,'AH',s,''
true,'T R UW',s,'UW'
subject,'S AH B JH EH K T',s,''
and,'AH N D',s,''
aid,'EH D',s,''
them,'DH EH M',s,''
for,'F AO R',s,'AO'
their,'DH EH R',s,''
better,'B e T ə R',s,''
safety,'S EH F T ǝ IH',s,'IH'
to,'T UW',s,'UW'
by,'B AY',s,'AY'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
swear,'S W EH R',s,''
upon,'AH P AA N',s,'AA'
this,'DH IH S',s,'IH'
of,'AH V',s,''
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
and,'AH N D',s,''
been,'B IH N',s,'IH'
both,'B OW TH',s,''
at,'AE T',s,'AE'
and,'AH N D',s,''
from,'F R AH M',s,''
this,'DH IH S',s,'IH'
by,'B AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
great,'G r e T',s,''
priest,'P R IY S T',s,'IY'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
then,'DH EH N',s,''
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
to,'T UW',s,'UW'
break,'B R EY K',s,'EY'
the,'DH AH',s,''
holy,'HH OW L IY',s,'IY'
seal,'S IY L',s,'IY'
nor,'N AO R',s,'AO'
read,'r e D',s,''
the,'DH AH',s,''
secrets,'S IY K R AH T S',s,'IY'
in,'IH N',s,'IH'
is,'IH Z',s,'IH'
camillo,'K AH M IH L OW',s,'IH'
a,'AH',s,''
true,'T R UW',s,'UW'
subject,'S AH B JH EH K T',s,''
a,'AH',s,''
jealous,'JH EH L AH S',s,''
tyrant,'T AY R AH N T',s,'AY'
his,'HH IH Z',s,'IH'
begotten,'B IY G AO T IH N',s,'IY AO IH'
and,'AH N D',s,''
the,'DH AH',s,''
shall,'SH AE L',s,'AE'
an,'AE N',s,'AE'
if,'IH F',s,'IH'
that,'DH AE T',s,'AE'
is,'IH Z',s,'IH'
lost,'L AO S T',s,'AO'
be,'B IY',s,'IY'
not,'N AA T',s,'AA'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
even,'IY V IH N',s,'IY IH'
so,'S OW',s,''
as,'AE Z',s,'AE'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
set,'S EH T',s,''
down,'D ǝ UH N',s,'UH'
