i,'AY', s, AY
not,'N AA T', s, AA
but,'B AH T', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
it,'IH T', s, IH
was,'W AA Z', s, AA
not,'N AA T', s, AA
he,'HH IY', s, IY
hereby,'ˌ IY R B ǝ IH', s, IY IH
upon,'AH P AA N', s, AA
the,'DH AH', s, 
ege,'EH JH', s, 
of,'AH V', s, 
a,'AH', s, 
stand,'S T AE N D', s, AE
you,'Y UW', s, UW
the,'DH AH', s, 
fairest,'F EH R ǝ S T', s, 
shoot,'SH UW T', s, UW
pardon,'P AA R D ǝ N', s, AA
me,'M IY', s, IY
madam,'M AE D AH M', s, AE
for,'F AO R', s, AO
i,'AY', s, AY
meant,'M EH N T', s, 
not,'N AA T', s, AA
so,'S OW', s, 
yes,'Y IH S', s, IH
madam,'M AE D AH M', s, AE
fair,'F EH R', s, 
but,'B AH T', s, 
fair,'F EH R', s, 
is,'IH Z', s, IH
that,'DH AE T', s, AE
you,'Y UW', s, UW
inherit,'IH N HH EH R AH T', s, IH
